auction_id,after_repair_value,auction_date,baths,bedrooms,cash_only,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,trustee_sale,venue_code,venue_id,venue_type,year_built,est_debt,est_opening_bid,opening_bid
2805768,478000.0,2019-09-24,2.0,3.0,1.0,478000.0,0.0,1715.0,/details/3991-71st-st-sacramento-ca-95820-2805768-e_13495a,0.0,0.23,0.0,16.0,3991 71ST ST,Sacramento,Sacramento,2805768.0,Occupied,CA,SFR,95820.0,11.0,1.0,AC2001,405099.0,Live,1965.0,,,
2840072,575000.0,2019-10-03,2.0,3.0,1.0,575000.0,0.0,1206.0,/details/1533-heather-drive-santa-rosa-ca-95401-2840072-e_13547,0.0,0.14,0.0,39.0,1533 HEATHER DRIVE,Santa Rosa,Sonoma,2840072.0,Occupied,CA,SFR,95401.0,0.0,1.0,AF3502,393144.0,Live,1963.0,,,
2842900,412000.0,2019-09-23,2.0,2.0,1.0,412000.0,0.0,1461.0,/details/724-westwood-avenue-lodi-ca-95242-2842900-e_900x,0.0,0.17,0.0,34.0,724 WESTWOOD AVENUE,Lodi,San Joaquin,2842900.0,Occupied,CA,SFR,95242.0,2.0,1.0,VC15032,383633.0,Live,1953.0,,,
2840098,402000.0,2019-10-02,2.0,3.0,1.0,402000.0,0.0,1794.0,/details/717-college-avenue-modesto-ca-95350-2840098-e_13547,0.0,0.19,0.0,23.0,717 COLLEGE AVENUE,Modesto,Stanislaus,2840098.0,Occupied,CA,SFR,95350.0,0.0,1.0,AC2009,392509.0,Live,1978.0,,,
2802215,410000.0,2019-10-08,2.0,3.0,1.0,410000.0,0.0,1352.0,/details/8337-argo-dr-citrus-heights-ca-95610-2802215-e_13599,0.0,0.18,0.0,57.0,8337 ARGO DR,Citrus Heights,Sacramento,2802215.0,Occupied,CA,SFR,95610.0,45.0,1.0,ZW2052,386312.0,Live,1976.0,306311.0,200000.0,200000.0
2844456,809000.0,2019-10-02,,,1.0,809000.0,0.0,,/details/1870-vollmer-way-san-jose-ca-95116-2844456-e_13547,0.0,,0.0,8.0,1870 VOLLMER WAY,San Jose,Santa Clara,2844456.0,Occupied,CA,,95116.0,0.0,1.0,AH4510,398089.0,Live,,453694.0,,
2837296,279000.0,2019-10-03,1.0,2.0,1.0,279000.0,0.0,1279.0,/details/503-e-barrymore-st-stockton-ca-95204-2837296-e_13547,0.0,0.13,0.0,6.0,503 E BARRYMORE ST,Stockton,San Joaquin,2837296.0,Occupied,CA,SFR,95204.0,0.0,1.0,ZV24509,385706.0,Live,1947.0,,,
2837297,1556000.0,2019-10-02,2.0,3.0,1.0,1556000.0,0.0,1953.0,/details/1966-meridian-ave-2nd-lien-san-jose-ca-95125-2837297-e_13547,0.0,0.23,0.0,29.0,1966 MERIDIAN AVE (2ND LIEN),San Jose,Santa Clara,2837297.0,Occupied,CA,SFR,95125.0,2.0,1.0,AH4506,398089.0,Live,1950.0,182488.0,,
2824498,267000.0,2019-10-03,1.0,2.0,1.0,267000.0,0.0,1060.0,/details/658-s-tuxedo-ave-stockton-ca-95204-2824498-e_13547,0.0,0.11,0.0,15.0,658 S TUXEDO AVE,Stockton,San Joaquin,2824498.0,Occupied,CA,SFR,95204.0,0.0,1.0,ZV24503,385706.0,Live,1916.0,67397.0,,
2108475,1131000.0,2019-10-24,1.0,2.0,1.0,1131000.0,0.0,1093.0,/details/1204-stannage-ave-berkeley-ca-94706-2108475-e_13703,0.0,0.08,0.0,2433.0,1204 STANNAGE AVE,Berkeley,Alameda,2108475.0,Occupied,CA,SFR,94706.0,394.0,1.0,TD13500,395297.0,Live,1927.0,365532.0,290000.0,290000.0
2763854,621000.0,2019-10-28,2.0,6.0,1.0,621000.0,0.0,2388.0,/details/234-s-5th-st-richmond-ca-94804-2763854-e_13755a,0.0,0.13,0.0,181.0,234 S 5TH ST,Richmond,Contra Costa,2763854.0,Occupied,CA,Duplex,94804.0,36.0,1.0,AA1000,402533.0,Live,1926.0,,,
2815566,261000,2019-09-16,,,,,,,/details/1424-victoria-dr-modesto-ca-95351-2815566-o_1257l,,,1.0,12.0,,,,2815566.0,,,SFR,,,,YY26404,397355.0,,1940.0,,,
2790737,407000,2019-10-03,2.0,4.0,1.0,407000.0,0.0,2250.0,/details/3423-south-b-street-stockton-ca-95206-2790737-e_13547,0.0,0.36,0.0,0.0,3423 SOUTH B STREET,Stockton,San Joaquin,2790737.0,Occupied,CA,SFR,95206.0,5.0,1.0,ZV24518,385706.0,Live,1964.0,186546.0,,
2758482,860000,2019-09-16,,,,,,,/details/302-east-beach-street-watsonville-ca-95076-2758482-o_1257l,,,1.0,376.0,,,,2758482.0,,,SFR,,,,ZE78329,397362.0,,1908.0,,,
2734934,1175000,2019-09-24,2.0,4.0,1.0,1175000.0,0.0,2166.0,/details/8-waterberry-ct-pleasant-hill-ca-94523-2734934-e_13495,0.0,0.23,0.0,1861.0,8 WATERBERRY CT,Pleasant Hill,Contra Costa,2734934.0,Occupied,CA,SFR,94523.0,246.0,1.0,AE3010,392505.0,Live,1970.0,314805.0,250000.0,250000.0
2840668,417000,2019-09-24,2.0,3.0,1.0,417000.0,0.0,1559.0,/details/3120-key-largo-ct-antelope-ca-95843-2840668-e_13495,0.0,0.27,0.0,37.0,3120 KEY LARGO CT,Antelope,Sacramento,2840668.0,Occupied,CA,SFR,95843.0,4.0,1.0,EY13033,382145.0,Live,1990.0,139791.0,,
