auction_id,asset_address_content_1,asset_address_content_2,asset_auction_date,asset_auction_type,asset_beds,asset_baths,asset_sqft,label_after_repair_value,label_after_repair_value_value,label_reserve,label_reserve_value,label_starting_bid,label_starting_bid_value,asset_save_label,asset_No Buyer's Premium_label,asset_image,asset_Newly Listed_label,asset_Broker Commission Available_label
2832559,445 OAK GROVE AVE,"MENLO PARK, CA 94025, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",2,2,"1,215",Est. Resale Value:,"$1,342,000",Est. Credit Bid:,–,Opening Bid:,"$310,000",Save,No Buyer's Premium,,,
2735027,2121 JEFFERSON AVE,"REDWOOD CITY, CA 94061, San Mateo County","Oct 02, 1:00pm","Foreclosure Sale, In Person",3,2,"1,180",Est. Resale Value:,"$1,521,000",Est. Credit Bid:,–,Opening Bid:,"$45,000",Save,No Buyer's Premium,HOT,,
2798716,1424 HOPKINS AVE,"REDWOOD CITY, CA 94062, San Mateo County","Sep 18, 12:30pm","Foreclosure Sale, In Person",–,–,–,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,–,Save,No Buyer's Premium,,,
2821757,1034 HALL STREET,"SAN CARLOS, CA 94070, San Mateo County","Oct 16, 1:00pm","Foreclosure Sale, In Person",2,1,910,Est. Resale Value:,"$1,578,000",Est. Credit Bid:,–,Opening Bid:,"$285,000",Save,No Buyer's Premium,,,
2718296,421 PORTOFINO DRIVE,"SAN CARLOS, CA 94070, San Mateo County","Nov 13, 1:00pm","Foreclosure Sale, In Person",8,8,"5,037",Est. Resale Value:,"$3,051,000",Est. Credit Bid:,–,Opening Bid:,"$1,200,000",Save,No Buyer's Premium,,,
2708299,5435 JONATHAN DR,"NEWARK, CA 94560, Alameda County","Oct 24, 9:00am","Foreclosure Sale, In Person",3,2,"1,314",Est. Resale Value:,"$946,000",Est. Credit Bid:,–,Opening Bid:,"$500,000",Save,No Buyer's Premium,,,
1399178,5181 FAIRBANKS CMN,"FREMONT, CA 94555, Alameda County","Nov 07, 9:00am","Foreclosure Sale, In Person",2,2,950,Est. Resale Value:,"$853,000",Est. Credit Bid:,–,Opening Bid:,"$325,000",Save,No Buyer's Premium,HOT,,
2772853,32913 MONROVIA STREET,"UNION CITY, CA 94587, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",3,2.5,"2,007",Est. Resale Value:,"$1,214,000",Est. Credit Bid:,–,Opening Bid:,"$710,000",Save,No Buyer's Premium,,,
2828998,4158 AQUARIUS CIR,"UNION CITY, CA 94587, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",4,1.5,"1,342",Est. Resale Value:,"$686,000",Est. Credit Bid:,–,Opening Bid:,"$195,000",Save,No Buyer's Premium,,,
2654221,1133 PRESCOTT AVENUE,"SUNNYVALE, CA 94089, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",3,2,"1,108",Est. Resale Value:,"$1,232,000",Est. Credit Bid:,–,Opening Bid:,"$700,000",Save,No Buyer's Premium,HOT,,
2657304,2977 MIRALOMA WAY,"UNION CITY, CA 94587, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",4,3,"2,357",Est. Resale Value:,"$1,224,000",Est. Credit Bid:,–,Opening Bid:,"$770,000",Save,No Buyer's Premium,,,
1339048,39773 COSTA WAY,"FREMONT, CA 94538, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",4,2,"1,734",Est. Resale Value:,"$1,040,000",Est. Credit Bid:,–,Opening Bid:,"$265,000",Save,No Buyer's Premium,,,
1985147,710 MARINERS ISLAND BLVD #108,"SAN MATEO, CA 94404, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",–,1,519,Est. Resale Value:,"$706,000",Est. Credit Bid:,–,Opening Bid:,"$210,000",Save,No Buyer's Premium,HOT,,
1398414,40835 LINCOLN STREET,"FREMONT, CA 94538, Alameda County","Oct 24, 9:00am","Foreclosure Sale, In Person",12,6,"4,548",Est. Resale Value:,"$2,257,000",Est. Credit Bid:,–,Opening Bid:,"$1,400,000",Save,No Buyer's Premium,HOT,,
1425748,1303 COBB STREET,"SAN MATEO, CA 94401, San Mateo County","Nov 13, 1:00pm","Foreclosure Sale, In Person",3,1,"1,000",Est. Resale Value:,"$1,155,000",Est. Credit Bid:,–,Opening Bid:,"$690,000",Save,No Buyer's Premium,HOT,,
