I:auction:162:2019-09-21 08:42:59,438: ********************************************************************************
I:auction_crawler:248:2019-09-21 08:42:59,442: just loaded df from auctioned/20190920.csv
D:connectionpool:206:2019-09-21 08:42:59,513: Starting new HTTP connection (1): www.zillow.com:80
D:connectionpool:396:2019-09-21 08:42:59,650: http://www.zillow.com:80 "GET /webservice/GetDeepSearchResults.htm?address=713+ALICANTE+DR&citystatezip=95240&zws-id=X1-ZWz180ciauq5mz_59mre HTTP/1.1" 200 None
D:connectionpool:206:2019-09-21 08:42:59,657: Starting new HTTP connection (1): www.zillow.com:80
D:connectionpool:396:2019-09-21 08:42:59,750: http://www.zillow.com:80 "GET /webservice/GetDeepSearchResults.htm?address=8700+EASTWOOD+CRT&citystatezip=95209&zws-id=X1-ZWz180ciauq5mz_59mre HTTP/1.1" 200 None
I:auction:116:2019-09-21 08:42:59,753: No zillow data for 8700 EASTWOOD CRT, 95209
D:connectionpool:206:2019-09-21 08:42:59,756: Starting new HTTP connection (1): www.zillow.com:80
D:connectionpool:396:2019-09-21 08:42:59,899: http://www.zillow.com:80 "GET /webservice/GetDeepSearchResults.htm?address=2445+W+DEL+RIO+DRIVE&citystatezip=95204&zws-id=X1-ZWz180ciauq5mz_59mre HTTP/1.1" 200 None
D:connectionpool:206:2019-09-21 08:42:59,904: Starting new HTTP connection (1): www.zillow.com:80
D:connectionpool:396:2019-09-21 08:43:00,038: http://www.zillow.com:80 "GET /webservice/GetDeepSearchResults.htm?address=1729+TERRA+VISTA+LANE&citystatezip=95206&zws-id=X1-ZWz180ciauq5mz_59mre HTTP/1.1" 200 None
D:connectionpool:206:2019-09-21 08:43:00,043: Starting new HTTP connection (1): www.zillow.com:80
D:connectionpool:396:2019-09-21 08:43:00,137: http://www.zillow.com:80 "GET /webservice/GetDeepSearchResults.htm?address=515+CHESTERFIELD+DR&citystatezip=95363&zws-id=X1-ZWz180ciauq5mz_59mre HTTP/1.1" 200 None
D:connectionpool:206:2019-09-21 08:43:00,143: Starting new HTTP connection (1): www.zillow.com:80
D:connectionpool:396:2019-09-21 08:43:00,234: http://www.zillow.com:80 "GET /webservice/GetDeepSearchResults.htm?address=1029+WEST+OAK+STREET&citystatezip=95203&zws-id=X1-ZWz180ciauq5mz_59mre HTTP/1.1" 200 None
I:auction:116:2019-09-21 08:43:00,235: No zillow data for 1029 WEST OAK STREET, 95203
D:connectionpool:206:2019-09-21 08:43:00,238: Starting new HTTP connection (1): www.zillow.com:80
D:connectionpool:396:2019-09-21 08:43:00,331: http://www.zillow.com:80 "GET /webservice/GetDeepSearchResults.htm?address=1638+UNION+LN&citystatezip=95377&zws-id=X1-ZWz180ciauq5mz_59mre HTTP/1.1" 200 None
D:connectionpool:206:2019-09-21 08:43:00,336: Starting new HTTP connection (1): www.zillow.com:80
D:connectionpool:396:2019-09-21 08:43:00,426: http://www.zillow.com:80 "GET /webservice/GetDeepSearchResults.htm?address=10573+E+ADA+AVE&citystatezip=95215&zws-id=X1-ZWz180ciauq5mz_59mre HTTP/1.1" 200 None
D:connectionpool:206:2019-09-21 08:43:00,431: Starting new HTTP connection (1): www.zillow.com:80
D:connectionpool:396:2019-09-21 08:43:00,522: http://www.zillow.com:80 "GET /webservice/GetDeepSearchResults.htm?address=1221+ENVIEW+CT&citystatezip=95210&zws-id=X1-ZWz180ciauq5mz_59mre HTTP/1.1" 200 None
D:connectionpool:206:2019-09-21 08:43:00,527: Starting new HTTP connection (1): www.zillow.com:80
D:connectionpool:396:2019-09-21 08:43:00,640: http://www.zillow.com:80 "GET /webservice/GetDeepSearchResults.htm?address=1121+EL+VECINO+AVENUE&citystatezip=95350&zws-id=X1-ZWz180ciauq5mz_59mre HTTP/1.1" 200 None
