,auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,my_status,occupancy_status,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2841950,,720000,2019-10-24,Unknown,1.0,3.0,0.0,True,303381.53,720000.0,False,1182.0,/details/19424-hathaway-avenue-hayward-ca-94541-2841950-e_13703,False,0.11,active,,0.0,125.0,19424 HATHAWAY AVENUE,Hayward,Alameda,2841950,Occupied,CA,SFR,94541.0,21.0,Active - Scheduled for Auction,True,TD13511,395297.0,Live,1952.0
1388080,,1061000,2019-11-07,Unknown,2.0,2.0,0.0,True,620000.0,1061000.0,False,1376.0,/details/7080-sayre-drive-oakland-ca-94611-1388080-e_13807,False,0.17,active,,0.0,49.0,7080 SAYRE DRIVE,Oakland,Alameda,1388080,Occupied,CA,SFR,94611.0,18.0,Active - Scheduled for Auction,True,YW8004,402338.0,Live,1961.0
2837128,,752000,2019-12-05,Unknown,2.0,3.0,0.0,True,190000.0,752000.0,False,1284.0,/details/22523-northview-drive-hayward-ca-94541-2837128-e_14015,False,0.14,active,,0.0,235.0,22523 NORTHVIEW DRIVE,Hayward,Alameda,2837128,Occupied,CA,SFR,94541.0,37.0,Active - Scheduled for Auction,True,AE3001,414773.0,Live,1964.0
2834874,,656000,2019-11-07,Unknown,2.5,3.0,0.0,True,460000.0,656000.0,False,1414.0,/details/9613-armstrong-dr-oakland-ca-94603-2834874-e_13807,False,0.05,active,,0.0,496.0,9613 ARMSTRONG DR,Oakland,Alameda,2834874,Occupied,CA,SFR,94603.0,18.0,Active - Scheduled for Auction,True,YW8001,402338.0,Live,2009.0
2837068,,477000,2019-11-21,Unknown,1.0,2.0,0.0,True,215000.0,477000.0,False,839.0,/details/10314-sunnyside-street-oakland-ca-94603-2837068-e_13911,False,0.07,active,,0.0,0.0,10314 SUNNYSIDE STREET,Oakland,Alameda,2837068,Occupied,CA,SFR,94603.0,18.0,Active - Scheduled for Auction,True,TM3504,398408.0,Live,1944.0
2835667,,Not Available,2019-10-24,Unknown,1.0,2.0,0.0,True,260000.0,,False,808.0,/details/24780-fairview-ave-hayward-ca-94542-2835667-e_13703,False,0.11,active,,0.0,2166.0,24780 FAIRVIEW AVE,Hayward,Alameda,2835667,Occupied,CA,,94542.0,33.0,Active - Scheduled for Auction,True,TD13507,395297.0,Live,1946.0
2822014,,445000,2019-10-24,Unknown,1.0,2.0,0.0,True,,445000.0,False,595.0,/details/1230-50th-avenue-oakland-ca-94601-2822014-e_13703,False,0.06,active,,0.0,529.0,1230 50TH AVENUE,Oakland,Alameda,2822014,Occupied,CA,SFR,94601.0,22.0,Active - Scheduled for Auction,True,TD13505,395297.0,Live,1910.0
2830622,,1149000,2019-10-24,Unknown,2.5,4.0,0.0,True,509131.27,1149000.0,False,1620.0,/details/126-trenton-cir-pleasanton-ca-94566-2830622-e_13703,False,0.09,active,,0.0,23.0,126 TRENTON CIR,Pleasanton,Alameda,2830622,Occupied,CA,SFR,94566.0,67.0,Active - Scheduled for Auction,True,TD13513,395297.0,Live,1994.0
2824490,,870000,2019-12-19,Unknown,3.0,3.0,0.0,True,501516.03,870000.0,False,1982.0,/details/1257-george-circle-hayward-ca-94541-2824490-e_14119,False,0.2,active,,0.0,124.0,1257 GEORGE CIRCLE,Hayward,Alameda,2824490,Occupied,CA,,94541.0,24.0,Active - Scheduled for Auction,True,AA1003,399488.0,Live,2013.0
2820523,,560000,2019-10-22,Not started,,,0.0,,,,,,/details/2637-74th-avenue-oakland-ca-94605-2820523-o_1261w,,,active,Occupied,1.0,22.0,2637 74TH AVENUE,Oakland,Alameda,2820523,,,SFR,94605,,For Sale,,AB34502,415155.0,,1950
2812840,,793000,2019-11-07,Unknown,2.0,2.0,0.0,True,490000.0,793000.0,False,1116.0,/details/466-crescent-street-unit-326-oakland-ca-94610-2812840-e_13807,False,0.01,active,,0.0,0.0,466 CRESCENT STREET UNIT # 326,Oakland,Alameda,2812840,Occupied,CA,Condo,94610.0,23.0,Active - Scheduled for Auction,True,YW8009,402338.0,Live,1971.0
