,auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,my_status,occupancy_status,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2765372,,Not Available,2019-10-10,Gone,1,3,0,True,115982.01,,False,1451,/details/1489-via-mesa-san-lorenzo-ca-94580-2765372-e_13599,False,0.06,auctioned,,False,572,1489 VIA MESA,San Lorenzo,Alameda,2765372,Occupied,CA,SFR,94580,70,Completed - Sold to 3rd Party,True,ZV1518,385373,Live,1951
2738815,,Not Available,2019-09-26,Gone,2,4,0,True,213493.97,,False,2095,/details/139--141-n-alameda-avenue-azusa-ca-91702-2738815-e_13494,False,0.16,auctioned,,False,732,139- 141 N ALAMEDA AVENUE,AZUSA,Los Angeles,2738815,Occupied,CA,Duplex,91702,37,Completed - Sold to 3rd Party,True,AA1077,371133,Live,1954
2839792,,624000,2019-09-25,Unknown,2,2,0,True,,624000,False,1279,/details/528-palm-ave-martinez-ca-94553-2839792-e_13495a,False,0.15,auctioned,,False,100,528 PALM AVE,Martinez,Contra Costa,2839792,Occupied,CA,SFR,94553,13,Completed - Pending Sale Result,True,AA1002,388847,Live,1950
2837870,,Not Available,2019-09-24,Gone,1.5,2,0,True,267994.42,,False,1089,/details/1288-pine-creek-h-concord-ca-94520-2837870-e_13495,False,0.01,auctioned,,False,273,1288 PINE CREEK H,Concord,Contra Costa,2837870,Occupied,CA,Condo,94520,17,Completed - Sold to 3rd Party,True,AE3017,392505,Live,1970
2807240,,581000,2019-09-24,Gone,3,5,0,True,275129.12,581000,False,2237,/details/4400-caribou-court-antioch-ca-94531-2807240-e_13495,False,0.17,auctioned,,False,321,4400 CARIBOU COURT,Antioch,Contra Costa,2807240,Occupied,CA,SFR,94531,37,Completed - Sold to 3rd Party,True,AE3021,392505,Live,1990
2767253,,562000,2019-09-24,Gone,3,4,0,True,169469.17,562000,False,2004,/details/4516-shannondale-drive-antioch-ca-94531-2767253-e_13495,False,0.11,auctioned,,False,1566,4516 SHANNONDALE DRIVE,Antioch,Contra Costa,2767253,Occupied,CA,SFR,94531,148,Completed - Sold to 3rd Party,True,AE3014,392505,Live,1990
2711973,,Not Available,2019-10-01,Unknown,,4,0,True,,,False,1450,/details/22-ethel-avenue-mill-valley-ca-94941-2711973-e_13547a,False,0.47,auctioned,,False,2081,22 ETHEL AVENUE,MILL VALLEY,Marin,2711973,Occupied,CA,SFR,94941,78,Completed - Pending Sale Result,True,ZY2000,402521,Live,1983
2829015,,207000,2019-09-24,Gone,2,3,0,True,100000.0,207000,False,1248,/details/3737-sacramento-road-phelan-ca-92371-2829015-e_13494,False,1.95,auctioned,,False,125,3737 SACRAMENTO ROAD,Phelan,San Bernardino,2829015,Occupied,CA,Mobile Home,92371,12,Completed - Sold to 3rd Party,True,ZK2528,383569,Live,1991
2831186,,234000,2019-09-24,Gone,1,2,0,True,97781.4,234000,False,858,/details/7556-delta-pointe-way-sacramento-ca-95823-2831186-e_13495,False,0.14,auctioned,,False,591,7556 DELTA POINTE WAY,Sacramento,Sacramento,2831186,Occupied,CA,SFR,95823,31,Completed - Sold to 3rd Party,True,EY13016,382145,Live,1988
2824815,,410000,2019-09-24,Gone,2,3,0,True,225000.0,410000,False,1733,/details/167-w-c-street-galt-ca-95632-2824815-e_13495,False,0.15,auctioned,,False,242,167 W C STREET,Galt,Sacramento,2824815,Occupied,CA,SFR,95632,15,Completed - Sold to 3rd Party,True,EY13010,382145,Live,1992
2822385,,407000,2019-10-08,Gone,2,3,0,True,292536.77,407000,False,1712,/details/8446-pastori-way-sacramento-ca-95828-2822385-e_13599,False,0.16,auctioned,,False,1159,8446 PASTORI WAY,Sacramento,Sacramento,2822385,Occupied,CA,SFR,95828,29,Completed - Sold to 3rd Party,True,ZW2010,386312,Live,1990
2819174,,423000,2019-10-11,Unknown,2,3,0,True,,423000,False,1470,/details/7767-madison-avenue-citrus-heights-ca-95610-2819174-e_13599a,False,0.28,auctioned,,False,304,7767 MADISON AVENUE,Citrus Heights,Sacramento,2819174,Occupied,CA,SFR,95610,22,Completed - Pending Sale Result,True,AB1500,398693,Live,1960
2838517,,314000,2019-10-03,Gone,2,3,0,True,145000.0,314000,False,1128,/details/1212-w-longview-ave-stockton-ca-95207-2838517-e_13547,False,0.24,auctioned,,False,481,1212 W LONGVIEW AVE,Stockton,San Joaquin,2838517,Occupied,CA,SFR,95207,9,Completed - Sold to 3rd Party,True,ZV24511,385706,Live,1947
2837296,,280000,2019-10-03,Gone,1,2,0,True,56505.34,280000,False,1279,/details/503-e-barrymore-st-stockton-ca-95204-2837296-e_13547,False,0.13,auctioned,,False,410,503 E BARRYMORE ST,Stockton,San Joaquin,2837296,Occupied,CA,SFR,95204,7,Completed - Sold to 3rd Party,True,ZV24509,385706,Live,1947
2842860,,816000,2019-09-30,Unknown,4,5,0,True,,816000,False,3590,/details/7625-zilli-drive-tracy-ca-95304-2842860-e_13703a,False,0.38,auctioned,,False,352,7625 ZILLI DRIVE,Tracy,San Joaquin,2842860,Occupied,CA,SFR,95304,10,Completed - Pending Sale Result,True,ZX25501,405148,Live,2006
2842900,,409000,2019-09-23,Unknown,2,2,0,True,,409000,False,1461,/details/724-westwood-avenue-lodi-ca-95242-2842900-e_13495a,False,0.17,auctioned,,False,132,724 WESTWOOD AVENUE,Lodi,San Joaquin,2842900,Occupied,CA,SFR,95242,6,Completed - Pending Sale Result,True,ZX25501,398431,Live,1953
2838647,,288000,2019-09-19,Gone,2,2,0,True,204190.94,288000,False,1422,/details/1221-enview-ct-stockton-ca-95210-2838647-e_13443,False,0.14,auctioned,,False,172,1221 ENVIEW CT,Stockton,San Joaquin,2838647,Occupied,CA,SFR,95210,11,Completed - Sold to 3rd Party,True,ZW25021,389263,Live,1980
2837364,,464000,2019-09-19,Gone,,,0,True,289058.36,464000,False,,/details/10573-e-ada-ave-stockton-california-95215-1745-aka-10573-e-ada-ave-unincorporated---county-of-san-joaquin-ca-95215-1703-stockton-ca-95215-2837364-e_13443,False,,auctioned,,False,228,"10573 E ADA AVE STOCKTON, CALIFORNIA 95215-1745 AKA 10573 E ADA AVE UNINCORPORATED - COUNTY OF SAN JOAQUIN, CA 95215-1703",STOCKTON,San Joaquin,2837364,Occupied,CA,,95215,11,Completed - Sold to 3rd Party,True,ZW25018,389263,Live,
2831244,,384000,2019-09-19,Gone,2,2,0,True,213276.52,384000,False,1028,/details/713-alicante-dr-lodi-ca-95240-2831244-e_13443,False,0.14,auctioned,,False,522,713 ALICANTE DR,Lodi,San Joaquin,2831244,,CA,SFR,95240,13,Completed - Sold to 3rd Party,True,ZW25008,389263,Live,1953
2812515,,494000,2019-09-16,Unknown,3,4,0,True,,494000,False,3153,/details/2323-van-gogh-ln-stockton-ca-95206-2812515-e_900x,False,0.14,auctioned,,False,209,2323 VAN GOGH LN,Stockton,San Joaquin,2812515,Occupied,CA,SFR,95206,9,Completed - Pending Sale Result,True,VQ22005,383632,Live,2002
2833179,,317000,2019-09-16,Unknown,2,3,0,True,,317000,False,1421,/details/4405-amador-pl-stockton-ca-95207-2833179-e_13443a,False,0.22,auctioned,,False,34,4405 AMADOR PL,Stockton,San Joaquin,2833179,Occupied,CA,SFR,95207,6,Completed - Pending Sale Result,True,ZV2502,395602,Live,1955
2821809,,360000,2019-09-19,Gone,3,4,0,True,112204.31,360000,False,1680,/details/1729-terra-vista-lane-stockton-ca-95206-2821809-e_13443,False,0.11,auctioned,,False,672,1729 TERRA VISTA LANE,Stockton,San Joaquin,2821809,,CA,SFR,95206,31,Completed - Sold to 3rd Party,True,ZW25010,389263,Live,1996
2808325,,400000,2019-09-22,Sold,,,6,,,,,,/details/10331-lombard-court-stockton-ca-95209-2808325-o_1258,,,auctioned,Occupied,True,1197,,,,2808325,,,SFR,,,Pending,,ZA56500,401858,,1999
