,auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,my_status,occupancy_status,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2571789,,,,,,,,,,,,,/details/3795-arbutus-court-hayward-ca-94542-2571789-e_13911,,,canceled,,,,,[],[],,,,,,,,,,,,
2846241,,,,,,,,,,,,,/details/37469-3rd-street-fremont-ca-94536-2846241-e_13703,,,canceled,,,,,[],[],,,,,,,,,,,,
2846758,,,,,,,,,,,,,/details/3490-castle-court-tracy-ca-95376-2846758-e_13651,,,canceled,,,,,[],[],,,,,,,,,,,,
2802215,,,,,,,,,,,,,/details/8337-argo-dr-citrus-heights-ca-95610-2802215-e_13599,,,canceled,,,,,[],[],,,,,,,,,,,,
2596923,,,,,,,,,,,,,/details/1402-n-pershing-ave-stockton-ca-95203-2596923-e_13651,,,canceled,,,,,[],[],,,,,,,,,,,,
2686529,,,,,,,,,,,,,/details/15280-venetian-way-morgan-hill-ca-95037-2686529-e_13963,,,canceled,,,,,[],['Santa Clara'],,,,,,,,,,,,
2802761,,,,,,,,,,,,,/details/5570-ontario-street-sacramento-ca-95820-2802761-e_13495,,,canceled,,,,,[],[],,,,,,,,,,,,
2817620,,,,,,,,,,,,,/details/403-northampton-way-newman-ca-95360-2817620-e_13963,,,canceled,,,,,[],['Stanislaus'],,,,,,,,,,,,
2802267,,,,,,,,,,,,,/details/1434-junewood-place-manteca-ca-95336-2802267-e_13859,,,canceled,,,,,[],['San Joaquin'],,,,,,,,,,,,
2819170,,,,,,,,,,,,,/details/7708-quinby-way-sacramento-ca-95823-2819170-o_1261l,,,canceled,,,,,[],['Sacramento'],,,,,,,,,,,,
2799202,,,,,,,,,,,,,/details/7815-charmette-way-sacramento-ca-95823-2799202-e_13495a,,,canceled,,,,,[],['Sacramento'],,,,,,,,,,,,
2835578,,,,,,,,,,,,,/details/605-flower-drive-folsom-ca-95630-2835578-e_13599,,,canceled,,,,,[],['Sacramento'],,,,,,,,,,,,
2849926,,,,,,,,,,,,,/details/483-485-oak-st-aka-483-oak-st-san-francisco-ca-94102-2849926-e_13703,,,canceled,,,,,[],['San Francisco'],,,,,,,,,,,,
2752651,,,,,,,,,,,,,/details/600-ferguson-ct-dixon-ca-95620-2752651-e_13807a,,,canceled,,,,,[],[],,,,,,,,,,,,
2676408,,,,,,,,,,,,,/details/4512-old-mill-ct-salida-ca-95368-2676408-e_13859,,,canceled,,,,,[],[],,,,,,,,,,,,
2786493,,,,,,,,,,,,,/details/433-arleta-ave-san-jose-ca-95128-2786493-e_13859,,,canceled,,,,,[],[],,,,,,,,,,,,
2768062,,,,,,,,,,,,,/details/1979-beltaine-court-vallejo-ca-94591-2768062-e_13807,,,canceled,,,,,[],['Solano'],,,,,,,,,,,,
2847437,,,,,,,,,,,,,/details/3420-harvey-ave-stockton-ca-95206-2847437-o_1263,,,canceled,,,,,[],['San Joaquin'],,,,,,,,,,,,
2844888,,,,,,,,,,,,,/details/3645-clay-street-sacramento-ca-95838-2844888-e_13911,,,canceled,,,,,[],[],,,,,,,,,,,,
2823389,,,,,,,,,,,,,/details/4417-mare-ct-antioch-ca-94531-2823389-e_13703,,,canceled,,,,,[],[],,,,,,,,,,,,
2835678,,,,,,,,,,,,,/details/1029-west-oak-street-stockton-ca-95203-2835678-e_13443,,,canceled,,,,,[],['San Joaquin'],,,,,,,,,,,,
2829029,,,,,,,,,,,,,/details/153-camino-del-sol-vallejo-ca-94591-2829029-e_13391,,,canceled,,,,,[],['Solano'],,,,,,,,,,,,
2761969,,,,,,,,,,,,,/details/51-elysian-fields-dr-oakland-ca-94605-2761969-e_13807a,,,canceled,,,,,[],[],,,,,,,,,,,,
2850079,,,,,,,,,,,,,/details/548-montford-ave-mill-valley-ca-94941-2850079-e_13703,,,canceled,,,,,[],[],,,,,,,,,,,,
2844961,,,,,,,,,,,,,/details/17209-hillcrest-ave-sonoma-ca-95476-2844961-e_13755,,,canceled,,,,,[],[],,,,,,,,,,,,
2823464,,,,,,,,,,,,,/details/125-de-paul-dr-vallejo-ca-94589-2823464-e_13391,,,canceled,,,,,[],['Solano'],,,,,,,,,,,,
2843947,,,,,,,,,,,,,/details/5328-buckwood-way-sacramento-ca-95835-2843947-e_14015,,,canceled,,,,,[],['Sacramento'],,,,,,,,,,,,
2831188,,,,,,,,,,,,,/details/1424-couples-circle-fairfield-ca-94533-2831188-e_14015,,,canceled,,,,,[],['Solano'],,,,,,,,,,,,
2675037,,,,,,,,,,,,,/details/2949-shoreline-circle-fairfield-ca-94533-2675037-e_13703,,,canceled,,,,,[],[],,,,,,,,,,,,
2840420,,,,,,,,,,,,,/details/4000-fara-biundo-unit-83-modesto-ca-95355-2840420-e_13651,,,canceled,,,,,[],[],,,,,,,,,,,,
2806635,,,,,,,,,,,,,/details/5315-silver-garden-way-san-jose-ca-95138-2806635-e_13963,,,canceled,,,,,[],['Santa Clara'],,,,,,,,,,,,
2837872,,,,,,,,,,,,,/details/4754-clothier-way-sacramento-ca-95841-2837872-e_13911,,,canceled,,,,,[],['Sacramento'],,,,,,,,,,,,
2850672,,,,,,,,,,,,,/details/1861-n-fitch-mountain-rd-healdsburg-ca-95448-2850672-e_13755,,,canceled,,,,,[],[],,,,,,,,,,,,
2815888,,,,,,,,,,,,,/details/2002-jack-rabbit-court-santa-rosa-ca-95403-2815888-e_13859,,,canceled,,,,,[],['Sonoma'],,,,,,,,,,,,
2815916,,,,,,,,,,,,,/details/871-swan-dr-manteca-ca-95337-2815916-o_1261l,,,canceled,,,,,[],['San Joaquin'],,,,,,,,,,,,
2832818,,,,,,,,,,,,,/details/3301-del-paso-blvd-sacramento-ca-95815-2832818-e_13391,,,canceled,,,,,[],['Sacramento'],,,,,,,,,,,,
1300924,,,,,,,,,,,,,/details/203-s-lincoln-avenue-manteca-ca-95336-1300924-e_13859,,,canceled,,,,,[],['San Joaquin'],,,,,,,,,,,,
2792410,,,,,,,,,,,,,/details/6669-embarcadero-dr-18-stockton-ca-95219-2792410-e_13651,,,canceled,,,,,[],[],,,,,,,,,,,,
2769889,,,,,,,,,,,,,/details/2552-amethyst-dr-santa-clara-ca-95051-2769889-e_13859,,,canceled,,,,,[],['Santa Clara'],,,,,,,,,,,,
2842089,,,,,,,,,,,,,/details/2055-sierra-road-85-concord-ca-94518-2842089-e_13911,,,canceled,,,,,[],['Contra Costa'],,,,,,,,,,,,
2857974,,,,,,,,,,,,,/details/471-37th-st-oakland-ca-94609-2857974-e_900x,,,canceled,,,,,[],[],,,,,,,,,,,,
2843128,,,,,,,,,,,,,/details/474-e-12th-st-pittsburg-ca-94565-2843128-e_13651a,,,canceled,,,,,[],[],,,,,,,,,,,,
