,zillow_id,zestimate_amount,zestimate_valuation_range_high,zestimate_valuation_range_low,zillow_last_date_sold,zillow_last_sold_price,city,venue_code,auction_date,venue_id,venue_type,trustee_sale,online_event,financing_available,interior_access,cash_only,property_id,property_address,property_city,property_zip,lot_size,home_square_footage,bedrooms,baths,year_built,property_county,property_occupancy_status,property_type,property_state_code,saved_count,status_label,estimated_value,occupancy_status,after_repair_value,auction_status,bid_count,propertyViews
2799446,24972089,,,,09/06/2019,608000,,AC2000,2019-10-30,416958,Live,True,False,False,False,True,2799446,22558 6TH ST,Hayward,94541,0.12,1849,3,1.5,1939,Alameda,Occupied,SFR,CA,29,Active - Scheduled for Auction,832000,,832000,Unknown,0,125
2767253,18303570,,,,09/25/2019,394000,,AE3014,2019-09-24,392505,Live,True,False,False,False,True,2767253,4516 SHANNONDALE DRIVE,Antioch,94531,0.11,2004,4,3,1990,Contra Costa,Occupied,SFR,CA,148,Completed - Sold to 3rd Party,562000,,562000,Gone,0,1566
2763854,18547488,,,,09/19/2019,300000,,AA1000,2019-10-28,402533,Live,True,False,False,False,True,2763854,234 S 5TH ST,Richmond,94804,0.13,2388,6,2,1926,Contra Costa,Occupied,Duplex,CA,46,Active - Scheduled for Auction,621000,,621000,Unknown,0,785
2807241,25830896,,,,10/01/2019,403200,,EY13027,2019-09-24,382145,Live,True,False,False,False,True,2807241,36 FALLWIND CIRCLE,Sacramento,95831,0.21,1706,3,2,1982,Sacramento,Occupied,SFR,CA,26,Completed - Reverted to Beneficiary,504000,,504000,Gone,0,1018
2821809,15337290,,,,09/17/2019,240000,,ZW25010,2019-09-19,389263,Live,True,False,False,False,True,2821809,1729 TERRA VISTA LANE,Stockton,95206,0.11,1680,4,3,1996,San Joaquin,,SFR,CA,31,Completed - Sold to 3rd Party,360000,,360000,Gone,0,672
2834872,15673501,,,,09/25/2019,215100,,ZX20510,2019-09-25,383724,Live,True,False,False,False,True,2834872,156 JORDAN STREET,Vallejo,94591,0.18,1092,3,1,1942,Solano,Occupied,SFR,CA,18,Completed - Sold to 3rd Party,388000,,388000,Gone,0,620
2815566,16003822,,,,08/22/2019,188730,,YY26404,2019-09-16,397355,,,True,,,,2815566,1424 VICTORIA DR,MODESTO,95351,,,,,1940,Stanislaus,,SFR,,,Pending,,Occupied,287000,Sold,6,466
2831245,25846203,,,,10/03/2019,176500,,ZI18024,2019-09-10,378717,Live,True,False,False,False,True,2831245,1551 BELINDA WAY,Sacramento,95822,0.17,1079,3,2,1960,Sacramento,,SFR,CA,17,Completed - Sold to 3rd Party,299000,,299000,Gone,0,557
2831476,15785605,372949,391596,354302,10/15/2019,302165,,AJ14344,2019-09-05,394871,,,True,,,,2831476,1142 Corby Avenue,Santa Rosa,95407,,,,,1946,Sonoma,,SFR,,,Pending,,Occupied,Not Available,Sold subject to,4,362
2801984,18440300,646888,679232,608075,10/01/2019,640500,,AI78332,2019-08-19,388967,,,True,,,,2801984,303 DAYBREAK COURT,SAN RAMON,94583,,,,,1995,Contra Costa,,Townhouse,,,Sold,,Vacant,703000,Sold,14,6289
2828519,25895465,,,,09/30/2019,274000,,AI56501,2019-08-25,392248,,,True,,,,2828519,10237 COUNTRYSIDE WAY,Sacramento,95827,,,,,1979,Santa Clara,,SFR,,,Sold,,Vacant,396000,Sold,18,1740
2838498,25945730,,,,10/17/2019,535000,,ZW2025,2019-10-08,386312,Live,True,False,False,False,True,2838498,9069 QUAIL FEATHER WAY,Elk Grove,95624,0.23,3342,4,3,2002,Sacramento,Occupied,SFR,CA,0,Active - Scheduled for Auction,,,Not Available,Unknown,0,0
2752448,24904945,,,,08/28/2019,595100,,SM36041,2019-11-06,383622,Live,True,False,False,False,True,2752448,2529 NORDELL AVENUE,Castro Valley,94546,0.12,1150,3,2,1953,Alameda,Occupied,SFR,CA,47,Active - Scheduled for Auction,947000,,947000,Unknown,0,21
