auction_id,after_repair_value,auction_date,baths,bedrooms,cash_only,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,trustee_sale,venue_code,venue_id,venue_type,year_built,est_debt,est_opening_bid,opening_bid,auction_status,bid_count,occupancy_status,status_label
2831244,384000,2019-09-19,2,2,True,384000.0,False,1028,/details/713-alicante-dr-lodi-ca-95240-2831244-e_13443,False,0.14,False,522.0,713 ALICANTE DR,Lodi,San Joaquin,2831244,,CA,SFR,95240,13.0,True,ZW25008,389263.0,Live,1953,213276.0,213276.52,213276.52,Gone,0.0,,Completed - Sold to 3rd Party
2834844,358000,2019-09-19,2,3,True,358000.0,False,1519,/details/8700-eastwood-crt-stockton-ca-95209-2834844-e_13443,False,0.19,False,119.0,8700 EASTWOOD CRT,Stockton,San Joaquin,2834844,Occupied,CA,SFR,95209,10.0,True,ZW25016,389263.0,Live,1979,256751.0,205000.0,205000.0,Gone,0.0,,Completed - Reverted to Beneficiary
2832560,349000,2019-09-19,1,3,True,349000.0,False,1325,/details/2445-w-del-rio-drive-stockton-ca-95204-2832560-e_13443,False,0.16,False,217.0,2445 W DEL RIO DRIVE,Stockton,San Joaquin,2832560,Occupied,CA,SFR,95204,13.0,True,ZW25011,389263.0,Live,1954,218013.0,165000.0,165000.0,Gone,0.0,,Completed - Reverted to Beneficiary
2821809,360000,2019-09-19,3,4,True,360000.0,False,1680,/details/1729-terra-vista-lane-stockton-ca-95206-2821809-e_13443,False,0.11,False,672.0,1729 TERRA VISTA LANE,Stockton,San Joaquin,2821809,,CA,SFR,95206,31.0,True,ZW25010,389263.0,Live,1996,112204.0,112204.31,112204.31,Gone,0.0,,Completed - Sold to 3rd Party
2841279,342000,2019-09-18,2,3,True,342000.0,False,1309,/details/515-chesterfield-dr-patterson-ca-95363-2841279-e_13443,False,0.14,False,125.0,515 CHESTERFIELD DR,Patterson,Stanislaus,2841279,Occupied,CA,SFR,95363,3.0,True,AH3009,395699.0,Live,1989,214498.0,214498.81,214498.81,Gone,0.0,,Completed - Sold to 3rd Party
2835678,285000,2019-09-19,1,2,True,285000.0,False,999,/details/1029-west-oak-street-stockton-ca-95203-2835678-e_13443,False,0.12,False,164.0,1029 WEST OAK STREET,Stockton,San Joaquin,2835678,Occupied,CA,SFR,95203,8.0,True,ZW25017,389263.0,Live,1948,192030.0,145000.0,145000.0,Gone,0.0,,Completed - Reverted to Beneficiary
2819183,512000,2019-09-19,3,3,True,512000.0,False,1599,/details/1638-union-ln-tracy-ca-95377-2819183-e_13443,False,0.04,False,391.0,1638 UNION LN,Tracy,San Joaquin,2819183,Occupied,CA,SFR,95377,11.0,True,ZW25002,389263.0,Live,2016,416406.0,300000.0,300000.0,Gone,0.0,,Completed - Reverted to Beneficiary
2837364,464000,2019-09-19,,,True,464000.0,False,,/details/10573-e-ada-ave-stockton-california-95215-1745-aka-10573-e-ada-ave-unincorporated---county-of-san-joaquin-ca-95215-1703-stockton-ca-95215-2837364-e_13443,False,,False,228.0,10573 E ADA AVE,STOCKTON,San Joaquin,2837364,Occupied,CA,,95215,11.0,True,ZW25018,389263.0,Live,,289058.0,289058.36,289058.36,Gone,0.0,,Completed - Sold to 3rd Party
2838647,288000,2019-09-19,2,2,True,288000.0,False,1422,/details/1221-enview-ct-stockton-ca-95210-2838647-e_13443,False,0.14,False,172.0,1221 ENVIEW CT,Stockton,San Joaquin,2838647,Occupied,CA,SFR,95210,11.0,True,ZW25021,389263.0,Live,1980,204190.0,204190.94,204190.94,Gone,0.0,,Completed - Sold to 3rd Party
2233215,353000,2019-09-18,2.5,3,True,353000.0,False,1609,/details/1121-el-vecino-avenue-modesto-ca-95350-2233215-e_13443,False,0.14,False,345.0,1121 EL VECINO AVENUE,Modesto,Stanislaus,2233215,Occupied,CA,SFR,95350,8.0,True,AH3006,395699.0,Live,1988,212288.0,212288.89,212288.89,Gone,0.0,,Completed - Sold to 3rd Party
