auction_id,asset_address_content_1,asset_address_content_2,asset_auction_date,asset_auction_type,asset_beds,asset_baths,asset_sqft,label_after_repair_value,label_after_repair_value_value,label_reserve,label_reserve_value,label_starting_bid,label_starting_bid_value,asset_save_label,asset_Broker Commission Available_label,asset_No Buyer's Premium_label,asset_image,auction_end_date,city,state,zipcode,county
1400466,5719 DIMAS COURT,"PLEASANTON, CA 94566, Alameda County",Sep 2 - 4,"Bank Owned, Online",4,5.5,"4,959",Est. Resale Value:,"$3,240,000",Reserve:,–,Opening Bid:,"$1,027,500",Saved,Broker Commission Available,,,2019-09-04,PLEASANTON,CA,94566, Alameda
1392803,3336 MONTEVIDEO DRIVE,"SAN RAMON, CA 94583, Contra Costa County",Sep 2 - 4,"Bank Owned, Online",3,2,"1,500",Est. Resale Value:,"$834,000",Reserve:,–,Opening Bid:,"$420,000",Saved,Broker Commission Available,,,2019-09-04,SAN RAMON,CA,94583, Contra Costa
2820523,2637 74TH AVENUE,"Oakland, CA 94605, Alameda County",Sep 3 - 5,"Bank Owned, Online",2,1,748,Est. Resale Value:,"$578,000",Reserve:,–,Opening Bid:,"$150,000",Saved,,No Buyer's Premium,,2019-09-05,Oakland,CA,94605, Alameda
2823038,1573 HILL AVE,"SAN JOSE, CA 95125, Santa Clara County","Sep 04, 9:00am","Foreclosure Sale, In Person",2,1,"1,300",Est. Resale Value:,"$1,349,000",Est. Credit Bid:,–,Opening Bid:,"$245,000",Save,,No Buyer's Premium,HOT,2019-09-04,SAN JOSE,CA,95125, Santa Clara
2805989,3305 HICKERSON DR,"SAN JOSE, CA 95127, Santa Clara County","Sep 04, Time TBD","Foreclosure Sale, In Person",3,2.5,"1,447",Est. Resale Value:,"$935,000",Est. Credit Bid:,–,Opening Bid:,–,Save,,No Buyer's Premium,,2019-09-04,SAN JOSE,CA,95127, Santa Clara
2805859,4969 BERKELAND CT,"SAN JOSE, CA 95111, Santa Clara County","Sep 04, 10:00am","Foreclosure Sale, In Person",4,2,"1,594",Est. Resale Value:,"$993,000",Est. Credit Bid:,–,Opening Bid:,–,Save,,No Buyer's Premium,,2019-09-04,SAN JOSE,CA,95111, Santa Clara
2787080,4006 TEALE AVENUE,"SAN JOSE, CA 95117, Santa Clara County","Sep 04, 9:00am","Foreclosure Sale, In Person",4,2,"1,769",Est. Resale Value:,"$1,505,000",Est. Credit Bid:,–,Opening Bid:,"$320,000",Save,,No Buyer's Premium,HOT,2019-09-04,SAN JOSE,CA,95117, Santa Clara
2718296,421 PORTOFINO DRIVE,"SAN CARLOS, CA 94070, San Mateo County","Sep 04, 1:00pm","Foreclosure Sale, In Person",8,8,"5,037",Est. Resale Value:,"$3,051,000",Est. Credit Bid:,–,Opening Bid:,"$1,200,000",Save,,No Buyer's Premium,HOT,2019-09-04,SAN CARLOS,CA,94070, San Mateo
2648578,2966 CRYSTAL CREEK DRIVE,"SAN JOSE, CA 95133, Santa Clara County","Sep 04, 9:00am","Foreclosure Sale, In Person",3,2.5,"1,728",Est. Resale Value:,"$1,241,000",Est. Credit Bid:,–,Opening Bid:,"$720,000",Save,,No Buyer's Premium,HOT,2019-09-04,SAN JOSE,CA,95133, Santa Clara
2556353,121 PARADISE DRIVE,"PACIFICA, CA 94044, San Mateo County","Sep 04, 1:00pm","Foreclosure Sale, In Person",3,1,"1,110",Est. Resale Value:,"$1,146,000",Est. Credit Bid:,–,Opening Bid:,"$10,000",Save,,No Buyer's Premium,HOT,2019-09-04,PACIFICA,CA,94044, San Mateo
2502895,2798 PLUMAS DRIVE,"SAN JOSE, CA 95121, Santa Clara County","Sep 04, 9:00am","Foreclosure Sale, In Person",4,2,"1,618",Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$560,000",Save,,No Buyer's Premium,,2019-09-04,SAN JOSE,CA,95121, Santa Clara
1399210,1006 LOVELL AVENUE,"CAMPBELL, CA 95008, Santa Clara County","Sep 04, 9:00am","Foreclosure Sale, In Person",4,2,"1,189",Est. Resale Value:,"$1,548,000",Est. Credit Bid:,–,Opening Bid:,"$1,150,000",Save,,No Buyer's Premium,,2019-09-04,CAMPBELL,CA,95008, Santa Clara
