auction_id,after_repair_value,auction_date,baths,bedrooms,cash_only,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,trustee_sale,venue_code,venue_id,venue_type,year_built,est_debt,est_opening_bid,opening_bid
2752640.0,226000,2019-09-11,1.0,4.0,1.0,226000.0,0.0,1069.0,/details/5628-7th-street-keyes-ca-95328-2752640-e_13391a,0.0,0.16,0.0,120.0,5628 7TH STREET,KEYES,Stanislaus,2752640.0,Occupied,CA,SFR,95328.0,19.0,1.0,ZT23500,402399.0,Live,1947.0,,0.0,
2807552.0,Not Available,2019-09-13,2.0,2.0,1.0,,0.0,1084.0,/details/3035-colby-st-berkeley-ca-94705-2807552-e_13391a,0.0,0.03,0.0,1151.0,3035 COLBY ST,Berkeley,Alameda,2807552.0,Occupied,CA,Duplex,94705.0,72.0,1.0,ZS23000,401363.0,Live,1918.0,,,
2831245.0,299000,2019-09-10,2.0,3.0,1.0,299000.0,0.0,1079.0,/details/1551-belinda-way-sacramento-ca-95822-2831245-e_13391,0.0,0.17,0.0,515.0,1551 BELINDA WAY,Sacramento,Sacramento,2831245.0,,CA,SFR,95822.0,17.0,1.0,ZI18024,378717.0,Live,1960.0,205086.0,140000.0,140000.0
2827533.0,539000,2019-09-10,3.0,4.0,1.0,539000.0,0.0,2587.0,/details/2156-peakview-avenue-sacramento-ca-95835-2827533-e_13391,0.0,0.11,0.0,598.0,2156 PEAKVIEW AVENUE,Sacramento,Sacramento,2827533.0,Occupied,CA,SFR,95835.0,19.0,1.0,ZI18017,378717.0,Live,2003.0,362155.0,362155.0,362155.0
1400466.0,3240000,2019-09-09,,,,,,,/details/5719-dimas-court-pleasanton-ca-94566-1400466-o_1256l,,,1.0,1323.0,,,,1400466.0,,,SFR,,,,AH78329E,394869.0,,2006.0,,,
2701977.0,325000,2019-10-17,2.0,4.0,1.0,325000.0,0.0,1313.0,/details/149-e-ingram-street-stockton-ca-95204-2701977-e_13651,0.0,0.14,0.0,704.0,149 E INGRAM STREET,Stockton,San Joaquin,2701977.0,Occupied,CA,SFR,95204.0,75.0,1.0,BD15502,387484.0,Live,1950.0,157537.0,125000.0,125000.0
2840729.0,335000,2019-09-10,2.0,3.0,1.0,335000.0,0.0,1336.0,/details/5021-tacomic-drive-sacramento-ca-95842-2840729-e_900x,0.0,0.14,0.0,48.0,5021 TACOMIC DRIVE,Sacramento,Sacramento,2840729.0,Occupied,CA,SFR,95842.0,6.0,1.0,RP21575,376762.0,Live,1976.0,,,
2834589.0,375000,2019-09-10,2.0,3.0,1.0,375000.0,0.0,1324.0,/details/490-summer-garden-way-sacramento-ca-95833-2834589-e_13391,0.0,0.13,0.0,1709.0,490 SUMMER GARDEN WAY,Sacramento,Sacramento,2834589.0,Occupied,CA,SFR,95833.0,45.0,1.0,ZI18038,378717.0,Live,2004.0,147915.0,147915.84,147915.84
2815134.0,926000,2019-09-13,5.0,4.0,1.0,926000.0,0.0,4472.0,/details/1815-kagehiro-dr-tracy-ca-95376-2815134-e_13391a,0.0,0.24,0.0,586.0,1815 KAGEHIRO DR,Tracy,San Joaquin,2815134.0,Occupied,CA,SFR,95376.0,10.0,1.0,ZQ22001,399516.0,Live,2004.0,,,
2677286.0,406000,2019-10-17,2.0,3.0,1.0,406000.0,0.0,1647.0,/details/6518-crestview-circle-stockton-ca-95219-2677286-e_13651,0.0,0.11,0.0,464.0,6518 CRESTVIEW CIRCLE,Stockton,San Joaquin,2677286.0,Occupied,CA,SFR,95219.0,39.0,1.0,BD15500,387484.0,Live,2004.0,290181.0,245000.0,245000.0
2823464.0,451000,2019-09-11,2.0,3.0,1.0,451000.0,0.0,1320.0,/details/125-de-paul-dr-vallejo-ca-94589-2823464-e_13391,0.0,0.14,0.0,229.0,125 DE PAUL DR,Vallejo,Solano,2823464.0,Occupied,CA,SFR,94589.0,9.0,1.0,ZR22506,386292.0,Live,1978.0,388686.0,275000.0,275000.0
2824104.0,710000,2019-09-12,1.5,1.0,1.0,710000.0,0.0,957.0,/details/6625-hillmont-dr-oakland-ca-94605-2824104-e_13391,0.0,0.17,0.0,807.0,6625 HILLMONT DR,Oakland,Alameda,2824104.0,Occupied,CA,SFR,94605.0,25.0,1.0,ZJ18507,381258.0,Live,1925.0,252211.0,252211.33,252211.33
2815916.0,494000,2019-09-16,,,,,,,/details/871-swan-dr-manteca-ca-95337-2815916-o_1257l,,,1.0,1389.0,,,,2815916.0,,,SFR,,,,YY26329,397355.0,,1994.0,,,
2731844.0,554000,2019-09-10,,3.0,1.0,554000.0,0.0,2137.0,/details/8610-pershing-avenue-fair-oaks-ca-95628-2731844-e_900x,0.0,0.4,0.0,359.0,8610 PERSHING AVENUE,Fair Oaks,Sacramento,2731844.0,Occupied,CA,SFR,95628.0,13.0,1.0,RP21574,376762.0,Live,1978.0,,,
2805840.0,1192000,2019-09-10,2.0,3.0,1.0,1192000.0,0.0,1713.0,/details/340-fieldbrook-ln-watsonville-ca-95076-2805840-e_13391a,0.0,6.31,0.0,768.0,340 FIELDBROOK LN,Watsonville,Santa Cruz,2805840.0,Occupied,CA,,95076.0,22.0,1.0,ZL5000,397035.0,Live,1978.0,,,
1264092.0,563000,2019-11-14,3.0,5.0,1.0,563000.0,0.0,3297.0,/details/16780-gold-nugget-trl-lathrop-ca-95330-1264092-e_13859,0.0,0.12,0.0,177.0,16780 GOLD NUGGET TRL,Lathrop,San Joaquin,1264092.0,Occupied,CA,SFR,95330.0,40.0,1.0,AA1001,392521.0,Live,2005.0,406668.0,325000.0,325000.0
2694881.0,580000,2019-09-11,2.0,4.0,1.0,580000.0,0.0,1942.0,/details/746-del-mar-circle-vacaville-ca-95688-2694881-e_13391,0.0,0.08,0.0,282.0,746 DEL MAR CIRCLE,Vacaville,Solano,2694881.0,Occupied,CA,SFR,95688.0,26.0,1.0,ZR22518,386292.0,Live,2014.0,456203.0,335000.0,335000.0
2829026.0,358000,2019-09-11,1.0,2.0,1.0,358000.0,0.0,1096.0,/details/718-springs-rd-vallejo-ca-94590-2829026-e_13391,0.0,0.09,0.0,213.0,718 SPRINGS RD,Vallejo,Solano,2829026.0,Occupied,CA,SFR,94590.0,4.0,1.0,ZR22509,386292.0,Live,1934.0,320508.0,200000.0,200000.0
2829029.0,663000,2019-09-11,2.5,4.0,1.0,663000.0,0.0,2306.0,/details/153-camino-del-sol-vallejo-ca-94591-2829029-e_13391,0.0,0.08,0.0,542.0,153 CAMINO DEL SOL,Vallejo,Solano,2829029.0,Occupied,CA,SFR,94591.0,11.0,1.0,ZR22510,386292.0,Live,1992.0,453868.0,453868.37,453868.37
2805990.0,716000,2019-09-11,2.0,2.0,1.0,716000.0,0.0,1118.0,/details/2410-madden-ter-san-jose-ca-95116-2805990-e_13391a,0.0,0.01,0.0,545.0,2410 MADDEN TER,San Jose,Santa Clara,2805990.0,Occupied,CA,Condo,95116.0,20.0,1.0,ZR6501,399517.0,Live,2003.0,,,
2787177.0,861000,2019-09-10,1.0,2.0,1.0,861000.0,0.0,957.0,/details/129-pioneer-ave-walnut-creek-ca-94597-2787177-e_13391,0.0,0.33,0.0,1075.0,129 PIONEER AVE,Walnut Creek,Contra Costa,2787177.0,Occupied,CA,SFR,94597.0,58.0,1.0,ZO21016,385367.0,Live,1951.0,239997.0,239997.76,239997.76
2791151.0,1529000,2019-09-13,1.5,3.0,1.0,1529000.0,0.0,1600.0,/details/1574-willowmont-ave-san-jose-ca-95118-2791151-e_13391a,0.0,0.14,0.0,650.0,1574 WILLOWMONT AVE,San Jose,Santa Clara,2791151.0,Occupied,CA,SFR,95118.0,55.0,1.0,ZJ4000,397033.0,Live,1958.0,,,
1365490.0,446000,2019-09-10,3.0,4.0,1.0,446000.0,0.0,2088.0,/details/5506-sagpond-way-sacramento-ca-95835-1365490-e_13391,0.0,0.06,0.0,488.0,5506 SAGPOND WAY,Sacramento,Sacramento,1365490.0,Occupied,CA,SFR,95835.0,23.0,1.0,ZI18040,378717.0,Live,2005.0,558846.0,328781.67,328781.67
2719859.0,391000,2019-10-03,2.0,3.0,1.0,391000.0,0.0,1040.0,/details/298-shadywood-avenue-lathrop-ca-95330-2719859-e_13547,0.0,0.12,0.0,40.0,298 SHADYWOOD AVENUE,Lathrop,San Joaquin,2719859.0,Occupied,CA,SFR,95330.0,56.0,1.0,ZV24515,385706.0,Live,1998.0,229738.0,185000.0,185000.0
2831476.0,Not Available,2019-09-05,,,,,,,/details/1142-corby-avenue-santa-rosa-ca-95407-2831476-o_1256l,,,1.0,332.0,,,,2831476.0,,,SFR,,,,AJ14344,394871.0,,1946.0,,,
2671990.0,302000,2019-09-19,2.0,3.0,1.0,302000.0,0.0,1313.0,/details/2101-la-jolla-dr-stockton-ca-95204-2671990-e_13443,0.0,0.14,0.0,215.0,2101 LA JOLLA DR,Stockton,San Joaquin,2671990.0,Occupied,CA,SFR,95204.0,7.0,1.0,ZW25012,389263.0,Live,1955.0,127175.0,100000.0,100000.0
2814458.0,846000,2019-09-11,3.0,4.0,1.0,846000.0,0.0,2462.0,/details/109-lookout-ct-hercules-ca-94547-2814458-e_13391a,0.0,0.1,0.0,196.0,109 LOOKOUT CT,Hercules,Contra Costa,2814458.0,Occupied,CA,SFR,94547.0,16.0,1.0,AE3002,393258.0,Live,2000.0,,,
2807932.0,373000,2019-09-08,,,,,,,/details/8729-los-olivas-ct-stockton-ca-95210-2807932-o_1256,,,1.0,321.0,,,,2807932.0,,,SFR,,,,AD56612,398507.0,,1969.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
