auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_debt,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,occupancy_status,online_event,opening_bid,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
1264092.0,563000,2019-11-14,Unknown,3,5,0.0,True,406668.0,325000.0,563000.0,False,3297,/details/16780-gold-nugget-trl-lathrop-ca-95330-1264092-e_13859,False,0.12,,False,325000.0,214.0,16780 GOLD NUGGET TRL,Lathrop,San Joaquin,1264092,Occupied,CA,SFR,95330,41.0,Active - Scheduled for Auction,True,AA1001,392521.0,Live,2005
1365490.0,446000,2019-09-10,Gone,3,4,0.0,True,558846.0,328781.67,446000.0,False,2088,/details/5506-sagpond-way-sacramento-ca-95835-1365490-e_13391,False,0.06,,False,328781.67,490.0,5506 SAGPOND WAY,Sacramento,Sacramento,1365490,Occupied,CA,SFR,95835,23.0,Completed - Sold to 3rd Party,True,ZI18040,378717.0,Live,2005
1400466.0,3240000,2019-09-09,Gone,,,16.0,,,,,,,/details/5719-dimas-court-pleasanton-ca-94566-1400466-o_1256l,,,Occupied,True,,1378.0,,,,1400466,,,SFR,,,Pending,,AH78329E,394869.0,,2006
1455760.0,348000,2019-09-23,Unknown,3,3,0.0,True,,,348000.0,False,2005,/details/3335-sacramento-drive-redding-ca-96001-1455760-e_13495a,False,0.39,,False,,225.0,3335 SACRAMENTO DRIVE,Redding,Shasta,1455760,Occupied,CA,SFR,96001,8.0,Active - Scheduled for Auction,True,ZT2000,401990.0,Live,1959
1985147.0,,,,,,,,,,,,,/details/710-mariners-island-blvd-108-san-mateo-ca-94404-1985147-e_13443,,,,,,,,,,,,,,,,,,,,,
2671990.0,302000,2019-09-19,Unknown,2,3,0.0,True,134194.0,134194.63,302000.0,False,1313,/details/2101-la-jolla-dr-stockton-ca-95204-2671990-e_13443,False,0.14,,False,134194.63,240.0,2101 LA JOLLA DR,Stockton,San Joaquin,2671990,Occupied,CA,SFR,95204,10.0,Active - Scheduled for Auction,True,ZW25012,389263.0,Live,1955
2677286.0,406000,2019-10-17,Unknown,2,3,0.0,True,290181.0,245000.0,406000.0,False,1647,/details/6518-crestview-circle-stockton-ca-95219-2677286-e_13651,False,0.11,,False,245000.0,473.0,6518 CRESTVIEW CIRCLE,Stockton,San Joaquin,2677286,Occupied,CA,SFR,95219,39.0,Active - Scheduled for Auction,True,BD15500,387484.0,Live,2004
2694881.0,580000,2019-09-11,Gone,2,4,0.0,True,456203.0,335000.0,580000.0,False,1942,/details/746-del-mar-circle-vacaville-ca-95688-2694881-e_13391,False,0.08,,False,335000.0,284.0,746 DEL MAR CIRCLE,Vacaville,Solano,2694881,Occupied,CA,SFR,95688,26.0,Completed - Sold to 3rd Party,True,ZR22518,386292.0,Live,2014
2701977.0,325000,2019-10-17,Unknown,2,4,0.0,True,157537.0,125000.0,325000.0,False,1313,/details/149-e-ingram-street-stockton-ca-95204-2701977-e_13651,False,0.14,,False,125000.0,732.0,149 E INGRAM STREET,Stockton,San Joaquin,2701977,Occupied,CA,SFR,95204,75.0,Active - Scheduled for Auction,True,BD15502,387484.0,Live,1950
2719859.0,391000,2019-10-03,Unknown,2,3,0.0,True,229738.0,185000.0,391000.0,False,1040,/details/298-shadywood-avenue-lathrop-ca-95330-2719859-e_13547,False,0.12,,False,185000.0,60.0,298 SHADYWOOD AVENUE,Lathrop,San Joaquin,2719859,Occupied,CA,SFR,95330,56.0,Active - Scheduled for Auction,True,ZV24515,385706.0,Live,1998
2734934.0,1175000,2019-09-24,Unknown,2,4,0.0,True,314805.0,250000.0,1175000.0,False,2166,/details/8-waterberry-ct-pleasant-hill-ca-94523-2734934-e_13495,False,0.23,,False,250000.0,2017.0,8 WATERBERRY CT,Pleasant Hill,Contra Costa,2734934,Occupied,CA,SFR,94523,247.0,Active - Scheduled for Auction,True,AE3010,392505.0,Live,1970
2748584.0,671000,2019-10-22,Unknown,2,4,0.0,True,425445.0,340000.0,671000.0,False,1215,/details/1374-cape-cod-way-concord-ca-94521-2748584-e_13703,False,0.14,,False,340000.0,1065.0,1374 CAPE COD WAY,Concord,Contra Costa,2748584,Occupied,CA,SFR,94521,65.0,Active - Scheduled for Auction,True,AA1000,388702.0,Live,1954
2755973.0,471000,2019-10-08,Unknown,1,2,0.0,True,319796.0,255000.0,471000.0,False,845,/details/2214-rheem-ave-richmond-ca-94801-2755973-e_13599,False,0.06,,False,255000.0,33.0,2214 RHEEM AVE,Richmond,Contra Costa,2755973,Occupied,CA,SFR,94801,38.0,Active - Scheduled for Auction,True,ZY26020,386699.0,Live,1953
2757592.0,670000,2019-09-24,Unknown,3,4,0.0,True,279673.0,225000.0,670000.0,False,2297,/details/938-country-glen-lane-brentwood-ca-94513-2757592-e_13495,False,0.13,,False,225000.0,1091.0,938 COUNTRY GLEN LANE,Brentwood,Contra Costa,2757592,Occupied,CA,SFR,94513,113.0,Active - Scheduled for Auction,True,AE3003,392505.0,Live,1999
2763854.0,621000,2019-10-28,Unknown,2,6,0.0,True,,,621000.0,False,2388,/details/234-s-5th-st-richmond-ca-94804-2763854-e_13755a,False,0.13,,False,,203.0,234 S 5TH ST,Richmond,Contra Costa,2763854,Occupied,CA,Duplex,94804,38.0,Active - Scheduled for Auction,True,AA1000,402533.0,Live,1926
2787177.0,861000,2019-09-10,Gone,1,2,0.0,True,239997.0,239997.76,861000.0,False,957,/details/129-pioneer-ave-walnut-creek-ca-94597-2787177-e_13391,False,0.33,,False,239997.76,1105.0,129 PIONEER AVE,Walnut Creek,Contra Costa,2787177,Occupied,CA,SFR,94597,58.0,Completed - Sold to 3rd Party,True,ZO21016,385367.0,Live,1951
