auction_id,asset_Broker Commission Available_label,asset_Newly Listed_label,asset_No Buyer's Premium_label,asset_address_content_1,asset_address_content_2,asset_auction_date,asset_auction_type,asset_baths,asset_beds,asset_image,asset_save_label,asset_sqft,auction_end_date,city,county,label_after_repair_value,label_after_repair_value_value,label_reserve,label_reserve_value,label_starting_bid,label_starting_bid_value,state,zipcode
2648578,,,No Buyer's Premium,2966 CRYSTAL CREEK DRIVE,"SAN JOSE, CA 95133, Santa Clara County","Sep 04, 9:00am","Foreclosure Sale, In Person",2.5,3,HOT,Save,"1,728",2019-09-04,SAN JOSE, Santa Clara,Est. Resale Value:,"$1,241,000",Est. Credit Bid:,–,Opening Bid:,"$720,000",CA,95133
2833047,,,No Buyer's Premium,10485 LOMITA AVE,"FELTON, CA 95018, Santa Cruz County","Sep 17, 1:00pm","Foreclosure Sale, In Person",2,2,,Save,"1,038",2019-09-17,FELTON, Santa Cruz,Est. Resale Value:,"$634,000",Est. Credit Bid:,–,Opening Bid:,"$90,000",CA,95018
2840095,,,No Buyer's Premium,2540 BRENFORD DRIVE,"SAN JOSE, CA 95122, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",–,–,,Save,–,2019-09-18,SAN JOSE, Santa Clara,Est. Resale Value:,"$890,000",Est. Credit Bid:,–,Opening Bid:,–,CA,95122
2805859,,,No Buyer's Premium,4969 BERKELAND CT,"SAN JOSE, CA 95111, Santa Clara County","Sep 04, 10:00am","Foreclosure Sale, In Person",2,4,,Save,"1,594",2019-09-04,SAN JOSE, Santa Clara,Est. Resale Value:,"$993,000",Est. Credit Bid:,–,Opening Bid:,–,CA,95111
2780708,,,No Buyer's Premium,535 SOBRATO DR,"CAMPBELL, CA 95008, Santa Clara County","Sep 13, Time TBD","Foreclosure Sale, In Person",4,4,,Save,"2,698",2019-09-13,CAMPBELL, Santa Clara,Est. Resale Value:,"$1,993,000",Est. Credit Bid:,–,Opening Bid:,–,CA,95008
2805989,,,No Buyer's Premium,3305 HICKERSON DR,"SAN JOSE, CA 95127, Santa Clara County","Sep 04, Time TBD","Foreclosure Sale, In Person",2.5,3,,Save,"1,447",2019-09-04,SAN JOSE, Santa Clara,Est. Resale Value:,"$935,000",Est. Credit Bid:,–,Opening Bid:,–,CA,95127
1399210,,,No Buyer's Premium,1006 LOVELL AVENUE,"CAMPBELL, CA 95008, Santa Clara County","Sep 04, 9:00am","Foreclosure Sale, In Person",2,4,,Save,"1,189",2019-09-04,CAMPBELL, Santa Clara,Est. Resale Value:,"$1,548,000",Est. Credit Bid:,–,Opening Bid:,"$1,150,000",CA,95008
2822389,,,No Buyer's Premium,333 37TH AVENUE,"SAN MATEO, CA 94403, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",2,3,HOT,Save,"1,620",2019-09-18,SAN MATEO, San Mateo,Est. Resale Value:,"$1,619,000",Est. Credit Bid:,–,Opening Bid:,"$231,091.73",CA,94403
2832559,,,No Buyer's Premium,445 OAK GROVE AVE,"MENLO PARK, CA 94025, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",2,2,,Save,"1,215",,,,Est. Resale Value:,"$1,342,000",Est. Credit Bid:,–,Opening Bid:,"$310,000",,
2735027,,,No Buyer's Premium,2121 JEFFERSON AVE,"REDWOOD CITY, CA 94061, San Mateo County","Oct 02, 1:00pm","Foreclosure Sale, In Person",2,3,HOT,Save,"1,180",,,,Est. Resale Value:,"$1,521,000",Est. Credit Bid:,–,Opening Bid:,"$45,000",,
2798716,,,No Buyer's Premium,1424 HOPKINS AVE,"REDWOOD CITY, CA 94062, San Mateo County","Sep 18, 12:30pm","Foreclosure Sale, In Person",–,–,,Save,–,,,,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,–,,
2821757,,,No Buyer's Premium,1034 HALL STREET,"SAN CARLOS, CA 94070, San Mateo County","Oct 16, 1:00pm","Foreclosure Sale, In Person",1,2,,Save,910,,,,Est. Resale Value:,"$1,578,000",Est. Credit Bid:,–,Opening Bid:,"$285,000",,
2718296,,,No Buyer's Premium,421 PORTOFINO DRIVE,"SAN CARLOS, CA 94070, San Mateo County","Nov 13, 1:00pm","Foreclosure Sale, In Person",8,8,,Save,"5,037",,,,Est. Resale Value:,"$3,051,000",Est. Credit Bid:,–,Opening Bid:,"$1,200,000",,
2708299,,,No Buyer's Premium,5435 JONATHAN DR,"NEWARK, CA 94560, Alameda County","Oct 24, 9:00am","Foreclosure Sale, In Person",2,3,,Save,"1,314",,,,Est. Resale Value:,"$946,000",Est. Credit Bid:,–,Opening Bid:,"$500,000",,
1399178,,,No Buyer's Premium,5181 FAIRBANKS CMN,"FREMONT, CA 94555, Alameda County","Nov 07, 9:00am","Foreclosure Sale, In Person",2,2,HOT,Save,950,,,,Est. Resale Value:,"$853,000",Est. Credit Bid:,–,Opening Bid:,"$325,000",,
2772853,,,No Buyer's Premium,32913 MONROVIA STREET,"UNION CITY, CA 94587, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",2.5,3,,Save,"2,007",,,,Est. Resale Value:,"$1,214,000",Est. Credit Bid:,–,Opening Bid:,"$710,000",,
2828998,,,No Buyer's Premium,4158 AQUARIUS CIR,"UNION CITY, CA 94587, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",1.5,4,,Save,"1,342",,,,Est. Resale Value:,"$686,000",Est. Credit Bid:,–,Opening Bid:,"$195,000",,
2654221,,,No Buyer's Premium,1133 PRESCOTT AVENUE,"SUNNYVALE, CA 94089, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",2,3,HOT,Save,"1,108",,,,Est. Resale Value:,"$1,232,000",Est. Credit Bid:,–,Opening Bid:,"$700,000",,
