auction_id,after_repair_value,auction_date,baths,bedrooms,cash_only,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,trustee_sale,venue_code,venue_id,venue_type,year_built,est_debt,est_opening_bid,opening_bid,auction_status,bid_count,occupancy_status,status_label
2840451,1102000,2019-10-08,2,3,True,1102000.0,False,3500,/details/9675-harvey-road-galt-ca-95632-2840451-e_13599,False,15.92,False,458.0,9675 HARVEY ROAD,Galt,Sacramento,2840451,Occupied,CA,SFR,95632,12.0,True,ZW2031,386312.0,Live,1970,543624.0,543624.35,543624.35,Gone,0.0,,Completed - Reverted to Beneficiary
2808325,400000,2019-09-22,,,,,,,/details/10331-lombard-court-stockton-ca-95209-2808325-o_1258,,,True,1197.0,,,,2808325,,,SFR,,,,ZA56500,401858.0,,1999,,,,Sold,6.0,Occupied,Pending
2849048,635000,2019-10-06,,,,,,,/details/1648-quail-rd-west-sacramento-ca-95691-2849048-o_1260,,,True,3134.0,,,,2849048,,,SFR,,,,ZP56506,405690.0,,2012,,,,Sold,25.0,Vacant,Pending
2820641,795000,2019-09-30,,,,,,,/details/575-sonoma-street-san-marcos-ca-92078-2820641-o_1259l,,,True,2210.0,,,,2820641,,,SFR,,,,YC78329,400414.0,,1998,,,,Sold,7.0,Vacant,Pending
2844454,499000,2019-10-09,2,3,True,499000.0,False,1242,/details/230-san-leon-dr-vacaville-ca-95688-2844454-e_13599,False,0.14,False,261.0,230 SAN LEON DR,Vacaville,Solano,2844454,Occupied,CA,SFR,95688,11.0,True,AA1012,384416.0,Live,1995,385180.0,280000.0,280000.0,Gone,0.0,,Completed - Reverted to Beneficiary
2746185,238000,2019-10-09,1.5,2,True,238000.0,False,966,/details/1910-aletha-ln-4-vacaville-ca-95687-2746185-e_13599,False,0.01,False,379.0,1910 ALETHA LN #4,Vacaville,Solano,2746185,Occupied,CA,Condo,95687,46.0,True,AA1003,384416.0,Live,1981,198428.0,120000.0,120000.0,Gone,0.0,,Completed - Reverted to Beneficiary
2815566,287000,2019-09-16,,,,,,,/details/1424-victoria-dr-modesto-ca-95351-2815566-o_1257l,,,True,466.0,,,,2815566,,,SFR,,,,YY26404,397355.0,,1940,,,,Sold,6.0,Occupied,Pending
2842595,307000,2019-10-08,1,2,True,307000.0,False,1015,/details/1135-e-st-rio-linda-ca-95673-2842595-e_13495,False,0.11,False,48.0,1135 E ST,Rio Linda,Sacramento,2842595,Occupied,CA,SFR,95673,17.0,True,ZW2061,386312.0,Live,1986,186431.0,140000.0,140000.0,Gone,0.0,,Completed - Reverted to Beneficiary
2835578,546000,2019-10-08,2,3,True,546000.0,False,1641,/details/605-flower-drive-folsom-ca-95630-2835578-e_13599,False,0.23,False,548.0,605 FLOWER DRIVE,Folsom,Sacramento,2835578,Occupied,CA,SFR,95630,21.0,True,ZW2017,386312.0,Live,1984,481210.0,355000.0,355000.0,Gone,0.0,,Completed - Reverted to Beneficiary
2802301,421000,2019-10-06,,,,,,,/details/626-solano-way-redlands-ca-92374-2802301-o_1258l,,,True,1912.0,,,,2802301,,,SFR,,,,ZN14331,402607.0,,1987,,,,Sold subject to,8.0,Vacant,Pending
