auction_id,after_repair_value,auction_date,baths,bedrooms,cash_only,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,trustee_sale,venue_code,venue_id,venue_type,year_built,est_debt,est_opening_bid,opening_bid,auction_status,bid_count,occupancy_status,status_label
2814598,442000,2019-10-22,2,5,True,442000.0,False,2397,/details/1301-bell-ave-sacramento-ca-95838-2814598-e_13703a,False,0.47,False,330.0,1301 BELL AVE,Sacramento,Sacramento,2814598,Occupied,CA,SFR,95838,27.0,True,AI5001,412023.0,Live,1995,,,,Unknown,0.0,,Active - Scheduled for Auction
2733831,896000,2019-12-02,4,4,True,896000.0,False,4285,/details/6834-new-melones-circle-discovery-bay-ca-94505-2733831-e_13495,False,0.15,False,153.0,6834 NEW MELONES CIRCLE,Discovery Bay,Contra Costa,2733831,Occupied,CA,SFR,94505,64.0,True,ZH17504,402349.0,Live,2005,453328.0,365000.0,365000.0,Unknown,0.0,,Active - Scheduled for Auction
2622474,Not Available,2019-10-13,,,,,,,/details/10400-colorado-rd-san-joaquin-ca-93660-2622474-o_1259,,,True,32.0,,,,2622474,,,SFR,,,,AQ56517,406131.0,,1971,,,,Not started,0.0,Vacant,For Sale
2549031,Not Available,2019-11-14,2.5,4,True,,False,2146,/details/3725-montana-drive-aka-3725-montana-st-stockton-ca-95212-2549031-e_13651,False,0.12,False,133.0,3725 MONTANA DRIVE AKA 3725 MONTANA ST,STOCKTON,San Joaquin,2549031,Occupied,CA,SFR,95212,78.0,True,AA1013,392521.0,Live,2002,287972.0,245000.0,245000.0,Unknown,0.0,,Active - Scheduled for Auction
2748584,677000,2020-01-28,2,4,True,677000.0,False,1215,/details/1374-cape-cod-way-concord-ca-94521-2748584-e_13703,False,0.14,False,117.0,1374 CAPE COD WAY,Concord,Contra Costa,2748584,Occupied,CA,SFR,94521,74.0,True,AA1000,416009.0,Live,1954,425445.0,340000.0,340000.0,Unknown,0.0,,Active - Scheduled for Auction
2726322,443000,2019-11-04,1,3,True,443000.0,False,1053,/details/3803-shasta-cir-pittsburg-ca-94565-2726322-e_13599,False,0.14,False,37.0,3803 SHASTA CIR,Pittsburg,Contra Costa,2726322,Occupied,CA,SFR,94565,28.0,True,AE3018,394024.0,Live,1955,351578.0,290000.0,290000.0,Unknown,0.0,,Active - Scheduled for Auction
2402355,432000,2019-10-31,2,3,True,432000.0,False,1602,/details/1754-lakeshore-drive-lodi-ca-95242-2402355-e_13755,False,0.14,False,1674.0,1754 LAKESHORE DRIVE,Lodi,San Joaquin,2402355,Occupied,CA,SFR,95242,118.0,True,BF3500,392008.0,Live,1986,147598.0,120000.0,120000.0,Unknown,0.0,,Active - Scheduled for Auction
2596923,312000,2019-10-17,1,2,True,312000.0,False,1384,/details/1402-n-pershing-ave-stockton-ca-95203-2596923-e_13651,False,0.11,False,1332.0,1402 N PERSHING AVE,Stockton,San Joaquin,2596923,Occupied,CA,SFR,95203,77.0,True,BD15501,387484.0,Live,1925,186212.0,150000.0,150000.0,Unknown,0.0,,Active - Scheduled for Auction
2745935,1221000,2019-11-04,2,3,True,1221000.0,False,1645,/details/295-glasgow-circle-danville-ca-94526-2745935-e_13807,False,0.13,False,845.0,295 GLASGOW CIRCLE,Danville,Contra Costa,2745935,Occupied,CA,SFR,94526,104.0,True,AE3002,394024.0,Live,1996,742154.0,630000.0,630000.0,Unknown,0.0,,Active - Scheduled for Auction
2734934,1163000,2019-11-04,2,4,True,1163000.0,False,2166,/details/8-waterberry-ct-pleasant-hill-ca-94523-2734934-e_13807,False,0.23,False,1137.0,8 WATERBERRY CT,Pleasant Hill,Contra Costa,2734934,Occupied,CA,SFR,94523,276.0,True,AE3009,394024.0,Live,1970,314805.0,250000.0,250000.0,Unknown,0.0,,Active - Scheduled for Auction
2471511,491000,2019-10-17,3,5,True,491000.0,False,2978,/details/5118-pier-drive-stockton-ca-95206-2471511-e_13651,False,0.14,False,123.0,5118 PIER DRIVE,Stockton,San Joaquin,2471511,Occupied,CA,SFR,95206,131.0,True,BD15511,387484.0,Live,2003,298037.0,240000.0,240000.0,Unknown,0.0,,Active - Scheduled for Auction
2188774,451000,2019-11-14,2.5,4,True,451000.0,False,2452,/details/2109-pinetown-st-stockton-ca-95212-2188774-e_13859,False,0.12,False,94.0,2109 PINETOWN ST,Stockton,San Joaquin,2188774,Occupied,CA,SFR,95212,109.0,True,AA1008,392521.0,Live,2009,256624.0,205000.0,205000.0,Unknown,0.0,,Active - Scheduled for Auction
